end_station_name,member_casual,end_lat,end_lng,total_trips
"Artesian Ave & 55th St",casual,41.790000915527344,-87.69000244140625,83
"Artesian Ave & 55th St",member,41.790000915527344,-87.69000244140625,13
"Artesian Ave & Hubbard St",casual,41.88952020726779,-87.68817141640511,771
"Artesian Ave & Hubbard St",member,41.88953107097956,-87.68815234326941,1905
"Ashland Ave & 13th St",casual,41.86523452054066,-87.6665039522102,498
"Ashland Ave & 13th St",member,41.86523485037993,-87.6665039761969,2945
"Ashland Ave & 45th St",casual,41.810001373291016,-87.66000366210938,3
"Ashland Ave & 45th St - midblock south",casual,41.810001373291016,-87.66000366210938,2
"Ashland Ave & 45th St - midblock south",member,41.810001373291016,-87.66000366210938,3
"Ashland Ave & 46th St",casual,41.810001373291016,-87.66999816894531,1
"Ashland Ave & 46th St",member,41.810001373291016,-87.66999816894531,1
"Ashland Ave & 50th St",casual,41.80302429199219,-87.6646957397461,82
"Ashland Ave & 50th St",member,41.80302429199219,-87.6646957397461,61
"Ashland Ave & 63rd St",casual,41.77937316894531,-87.66484069824219,82
"Ashland Ave & 63rd St",member,41.77937316894531,-87.66484069824219,48
"Ashland Ave & 66th St",casual,41.77407700674875,-87.66381209237235,28
"Ashland Ave & 66th St",member,41.77407455444336,-87.663818359375,34
"Ashland Ave & 71st St",casual,41.77000045776367,-87.66000366210938,2
"Ashland Ave & 71st St",member,41.77000045776367,-87.66000366210938,4
"Ashland Ave & 73rd St",member,41.7599983215332,-87.66000366210938,1
"Ashland Ave & 74th St",casual,41.75923538208008,-87.6634750366211,72
"Ashland Ave & 74th St",member,41.75923538208008,-87.6634750366211,19
"Ashland Ave & 78th St",casual,41.75220635732015,-87.66369705200195,60
"Ashland Ave & 78th St",member,41.75220489501953,-87.6636962890625,19
"Ashland Ave & Archer Ave",casual,41.8392103023685,-87.66561130866693,367
"Ashland Ave & Archer Ave",member,41.839210614562035,-87.66561131676038,768
"Ashland Ave & Augusta Blvd",casual,41.89964282060469,-87.66770489626104,1819
"Ashland Ave & Augusta Blvd",member,41.899641405308714,-87.66770310176456,4526
"Ashland Ave & Belle Plaine Ave",casual,41.95605863672059,-87.66883815986384,1588
"Ashland Ave & Belle Plaine Ave",member,41.95605864634237,-87.6688385318648,1482
"Ashland Ave & Blackhawk St",casual,41.90706689067541,-87.66725227579313,3245
"Ashland Ave & Blackhawk St",member,41.90706629197734,-87.66725146597949,5804
"Ashland Ave & Chicago Ave",casual,41.89533913662253,-87.66758739651611,1969
"Ashland Ave & Chicago Ave",member,41.895420672338716,-87.66760727984351,3975
"Ashland Ave & Division St",casual,41.90344984653638,-87.66774829410687,8036
"Ashland Ave & Division St",member,41.90344995291417,-87.66774891659632,13382
"Ashland Ave & Garfield Blvd",casual,41.792823791503906,-87.6644287109375,76
"Ashland Ave & Garfield Blvd",member,41.792823791503906,-87.6644287109375,20
"Ashland Ave & Grace St",casual,41.95068722395266,-87.6687009928067,2812
"Ashland Ave & Grace St",member,41.95068427103039,-87.66869962058527,3723
"Ashland Ave & Grand Ave",casual,41.891071517930165,-87.66661130928175,2154
"Ashland Ave & Grand Ave",member,41.89107142860258,-87.66661096852519,3499
"Ashland Ave & Lake St",casual,41.8859215282301,-87.66716694987969,2138
"Ashland Ave & Lake St",member,41.88592168540437,-87.66716768240448,2431
"Ashland Ave & McDowell Ave",casual,41.808868408203125,-87.66454315185547,163
"Ashland Ave & McDowell Ave",member,41.808868511303054,-87.66454297511274,259
"Ashland Ave & Pershing Rd",casual,41.823463439941406,-87.66558074951172,88
"Ashland Ave & Pershing Rd",member,41.82346331688665,-87.66558087256647,124
"Ashland Ave & Wellington Ave",casual,41.93608489268883,-87.6698078978079,2073
"Ashland Ave & Wellington Ave",member,41.93608506587891,-87.66980826504172,4251
"Ashland Ave & Wrightwood Ave",casual,41.92882929706539,-87.66851048351573,2789
"Ashland Ave & Wrightwood Ave",member,41.92882933213003,-87.6685102443613,3485
"Augusta Blvd & Laramie Ave",casual,41.900001525878906,-87.76000213623047,23
"Augusta Blvd & Laramie Ave",member,41.900001525878906,-87.76000213623047,4
"Austin Ave & Roscoe St",casual,41.939998626708984,-87.77999877929688,1
"Austin Ave & Wellington Ave - midblock",member,41.939998626708984,-87.77999877929688,2
"Austin Ave & Wrightwood Ave",casual,41.93000030517578,-87.77999877929688,3
"Austin Ave & Wrightwood Ave",member,41.93000030517578,-87.77999877929688,4
"Austin Blvd & Chicago Ave",casual,41.8948860168457,-87.77470397949219,126
"Austin Blvd & Chicago Ave",member,41.89488543782915,-87.77470227650234,112
"Austin Blvd & Lake St",casual,41.88794885679733,-87.77429438746253,258
"Austin Blvd & Lake St",member,41.88795351474843,-87.7742862701416,188
"Austin Blvd & Madison St",casual,41.880279541015625,-87.77445220947266,120
"Austin Blvd & Madison St",member,41.88027987113366,-87.7744535299448,104
"Austin Blvd & North Ave",member,41.90999984741211,-87.77999877929688,1
"Austin Branch Chicago Public Library",casual,41.88999938964844,-87.7699966430664,4
"Avenue J & 106th St",casual,41.70000076293945,-87.52999877929688,4
"Avenue J & 106th St",member,41.70000076293945,-87.52999877929688,1
"Avenue J & 112th St",casual,41.689998626708984,-87.52999877929688,2
"Avenue J & 112th St",member,41.689998626708984,-87.52999877929688,1
"Avenue L & 114th St",casual,41.689998626708984,-87.54000091552734,22
"Avenue L & 114th St",member,41.689998626708984,-87.54000091552734,2
"Avenue M & 132nd St",member,41.65999984741211,-87.54000091552734,2
"Avenue O & 118th St",casual,41.680999755859375,-87.53793334960938,85
"Avenue O & 118th St",member,41.680999755859375,-87.53793334960938,36
"Avenue O & 134th St",casual,41.6518669128418,-87.5396728515625,57
"Avenue O & 134th St",member,41.6518669128418,-87.5396728515625,22
"Avers Ave & Archer Ave",casual,41.79999923706055,-87.72000122070312,12
"Avers Ave & Archer Ave",member,41.79999923706055,-87.72000122070312,2
"Avers Ave & Belmont Ave",casual,41.93940744426589,-87.72357167816871,1077
"Avers Ave & Belmont Ave",member,41.93936241821922,-87.72354838316923,965
"Avers Ave & Irving Park Rd",casual,41.95000076293945,-87.72000122070312,3
"Avers Ave & Irving Park Rd",member,41.95000076293945,-87.72000122070312,11
"Avers Ave & Ogden Ave",casual,41.849998474121094,-87.72000122070312,1
