start_station_name,member_casual,start_lat,start_lng,total_trips
"California Ave & Pershing Rd",casual,41.81999969482422,-87.69000244140625,5
"California Ave & Pershing Rd",member,41.81999969482422,-87.69000244140625,3
"California Ave & Touhy Ave - NW",casual,42.0099983215332,-87.69999694824219,3
"California Ave & Touhy Ave - NW",member,42.0099983215332,-87.69999694824219,3
"California Ave & Winona St",casual,41.970001220703125,-87.69999694824219,120
"California Ave & Winona St",member,41.970001220703125,-87.69999694824219,270
"Calumet Ave & 103rd St",casual,41.709999084472656,-87.6150016784668,2
"Calumet Ave & 103rd St",member,41.709999084472656,-87.62000274658203,1
"Calumet Ave & 18th St",casual,41.85766542464622,-87.61952714035752,3505
"Calumet Ave & 18th St",member,41.85766672704504,-87.61956104921346,4724
"Calumet Ave & 21st St",casual,41.85416098512328,-87.61918182884658,2386
"Calumet Ave & 21st St",member,41.85418147718302,-87.61921273878237,1597
"Calumet Ave & 33rd St",casual,41.83495745375821,-87.61795485509585,876
"Calumet Ave & 33rd St",member,41.83487040421585,-87.61792724116133,6249
"Calumet Ave & 35th St",casual,41.83138042118238,-87.61803540768831,460
"Calumet Ave & 35th St",member,41.83138104157536,-87.61803563507029,1787
"Calumet Ave & 51st St",casual,41.80224291194569,-87.61810193495317,440
"Calumet Ave & 51st St",member,41.80224822549259,-87.61809786628274,510
"Calumet Ave & 71st St",casual,41.765504913330076,-87.61692657470704,25
"Calumet Ave & 71st St",member,41.765771978041705,-87.6171049230239,17
"Calumet Ave & Garfield Blvd",casual,41.790000915527344,-87.62000274658203,1
"Calumet Ave & Garfield Blvd",member,41.790000915527344,-87.62000274658203,3
"Calumet Park",casual,41.71371228548023,-87.5308406160906,211
"Calumet Park",member,41.71371187482561,-87.53083921160017,70
"Campbell Ave & 51st St",casual,41.79999923706055,-87.69000244140625,48
"Campbell Ave & 51st St",member,41.79999923706055,-87.69000244140625,7
"Campbell Ave & Fullerton Ave",casual,41.92464284728357,-87.68931061438032,1415
"Campbell Ave & Fullerton Ave",member,41.9246280281407,-87.68927601613817,1570
"Campbell Ave & Irving Park Rd",casual,41.95000076293945,-87.69000244140625,141
"Campbell Ave & Irving Park Rd",member,41.95000076293945,-87.69000244140625,152
"Campbell Ave & Montrose Ave",casual,41.96154885265709,-87.69116983361008,724
"Campbell Ave & Montrose Ave",member,41.96154263886538,-87.69116819988598,2112
"Campbell Ave & Montrose Ave (Temp)",casual,41.961558775468305,-87.69323175603694,22
"Campbell Ave & Montrose Ave (Temp)",member,41.96155070295237,-87.69320493755919,99
"Campbell Ave & North Ave",casual,41.91053398230404,-87.689562180463,2567
"Campbell Ave & North Ave",member,41.91053430644433,-87.68956024009356,3041
"Canal St & Adams St",casual,41.879342258429645,-87.63997032993319,5788
"Canal St & Adams St",member,41.87932125002672,-87.63994431897487,14893
"Canal St & Harrison St",casual,41.87424428223302,-87.63958795941065,945
"Canal St & Harrison St",member,41.87424635635257,-87.63958093996271,2177
"Canal St & Jackson Blvd",casual,41.87724711302865,-87.63941672536218,2887
"Canal St & Jackson Blvd",member,41.87725961153793,-87.6394194160143,7430
"Canal St & Madison St",casual,41.8821577977862,-87.63982694957139,3679
"Canal St & Madison St",member,41.882164213998514,-87.63984125105543,10141
"Canal St & Monroe St",casual,41.881634432406315,-87.63950550700582,2972
"Canal St & Monroe St",member,41.88169069769462,-87.63949647314843,8516
"Canal St & Taylor St",casual,41.87021410985315,-87.63947317027149,2338
"Canal St & Taylor St",member,41.87022388557862,-87.63946499630838,4136
"Cannon Dr & Fullerton Ave",casual,41.92673654076438,-87.63443969630595,3816
"Cannon Dr & Fullerton Ave",member,41.92675503190741,-87.63443995096597,2324
"Carpenter St & 63rd St",casual,41.77987861633301,-87.65090147654216,24
"Carpenter St & 63rd St",member,41.77988656361898,-87.65091387430827,12
"Carpenter St & Huron St",casual,41.89455939069373,-87.65347666341648,3396
"Carpenter St & Huron St",member,41.89454733715991,-87.65345210088913,6553
"Central Ave & Chicago Ave",casual,41.894956670255745,-87.76490412002954,117
"Central Ave & Chicago Ave",member,41.894956832069425,-87.76490472864222,243
"Central Ave & Corcoran Pl",casual,41.88999938964844,-87.76833089192708,6
"Central Ave & Corcoran Pl",member,41.88999938964844,-87.7699966430664,1
"Central Ave & George St",casual,41.93000030517578,-87.7699966430664,2
"Central Ave & George St",member,41.93000030517578,-87.7699966430664,3
"Central Ave & Harrison St",casual,41.872996818728566,-87.76449547744379,82
"Central Ave & Harrison St",member,41.87300692106548,-87.76450106972142,19
"Central Ave & Lake St",casual,41.887666564941405,-87.76546588134765,125
"Central Ave & Lake St",member,41.887660736733295,-87.76547111348903,47
"Central Ave & Madison St",casual,41.88012054001076,-87.7632356726605,69
"Central Ave & Madison St",member,41.88012110176733,-87.76323266756737,118
"Central Ave & North Ave",casual,41.90999984741211,-87.7699966430664,1
"Central Ave & North Ave",member,41.90999984741211,-87.7699966430664,1
"Central Ave & Parker Ave",casual,41.93000030517578,-87.7699966430664,55
"Central Ave & Parker Ave",member,41.93000030517578,-87.7699966430664,43
"Central Ave & Roscoe St",casual,41.939998626708984,-87.7699966430664,93
"Central Ave & Roscoe St",member,41.939998626708984,-87.7699966430664,133
"Central Park & Augusta Blvd",casual,41.900001525878906,-87.72000122070312,31
"Central Park & Augusta Blvd",member,41.900001525878906,-87.72000122070312,47
"Central Park Ave & 24th St",casual,41.848092602145286,-87.71515950848979,155
"Central Park Ave & 24th St",member,41.84809751288835,-87.7151151553605,129
"Central Park Ave & Bloomingdale Ave",casual,41.914161989943096,-87.71676248775779,1388
"Central Park Ave & Bloomingdale Ave",member,41.9141672399841,-87.71675639104637,1394
"Central Park Ave & Douglas Blvd",casual,41.86000061035156,-87.72000122070312,41
"Central Park Ave & Douglas Blvd",member,41.86000061035156,-87.72000122070312,31
"Central Park Ave & Elbridge Ave",casual,41.93534449285658,-87.71686297675588,1164
"Central Park Ave & Elbridge Ave",member,41.93534426248817,-87.71686150506433,1267
"Central Park Ave & North Ave",casual,41.90965186365393,-87.71663886821823,604
"Central Park Ave & North Ave",member,41.90965837240219,-87.71656307578087,512
"Central Park Ave & Ogden Ave",casual,41.853985260754094,-87.71510718741068,410
"Central Park Ave & Ogden Ave",member,41.85395410977877,-87.71514983543983,260
"Central Park Ave & Ohio St",casual,41.88999938964844,-87.72000122070312,91
"Central Park Ave & Ohio St",member,41.88999938964844,-87.72000122070312,60
"Central Park Blvd & 5th Ave",casual,41.87567755516539,-87.71547715207363,94
"Central Park Blvd & 5th Ave",member,41.875679397583006,-87.7154759724935,60
"Central St & Girard Ave",casual,42.06366699181714,-87.68634635036432,412
"Central St & Girard Ave",member,42.06430801053673,-87.68614691973139,587
"Central St Metra",casual,42.06340830666678,-87.69865750865776,476
"Central St Metra",member,42.06314773969753,-87.6986096016395,558
"Chappel Ave & 71st St",casual,41.77000045776367,-87.56999969482422,1
"Chappel Ave & 71st St",member,41.77000045776367,-87.58000183105469,1
"Chase Ave & Touhy Ave - NE",casual,42.0099983215332,-87.69000244140625,1
"Chase Ave & Touhy Ave - NE",member,42.0099983215332,-87.69000244140625,1
"Chase Ave & Touhy Ave - NW",casual,42.0099983215332,-87.69000244140625,1
"Chase Ave & Touhy Ave - NW",member,42.0099983215332,-87.69000244140625,3
"Cherry Ave & Blackhawk St",casual,41.90722935731513,-87.6556426348327,677
"Cherry Ave & Blackhawk St",member,41.90722726748712,-87.65563422362135,1277
"Chicago Ave & Sheridan Rd",casual,42.05047457985482,-87.67782867403935,2203
"Chicago Ave & Sheridan Rd",member,42.05048850304322,-87.6778179219856,2088
"Chicago Ave & Washington St",casual,42.03238900132266,-87.67914838997179,1202
"Chicago Ave & Washington St",member,42.03256334577288,-87.6791388145963,1729
"Chicago State University",casual,41.71896657529084,-87.60832599142323,115
"Chicago State University",member,41.718979588261355,-87.60836915616636,216
"Chopin Park",casual,41.939998626708984,-87.76000213623047,1
"Christiana Ave & 55th St",casual,41.790000915527344,-87.70999908447266,8
"Christiana Ave & 55th St",member,41.790000915527344,-87.70999908447266,2
"Christiana Ave & Archer Ave",casual,41.810001373291016,-87.70999908447266,18
"Christiana Ave & Archer Ave",member,41.810001373291016,-87.70999908447266,32
"Christiana Ave & Belmont Ave",casual,41.939998626708984,-87.70999908447266,9
